estrato;talhao;area;distkm;parcela;id;ncovas;nfustes;dapmed;htmed;hd;ab;vtsc;vtcc
494593;758;98,06;136,64;1229;25,46;1540;1460;12,66;14,26;15,16;18,97;101,64;123,94
494593;758;98,06;136,64;1229;42,84;1540;1460;15,22;18,86;21,42;27,94;205,95;241,06
494593;758;98,06;136,64;1229;55,16;1540;1440;16,68;24,09;26,42;33,44;325,97;374,55
494593;758;98,06;136,64;1229;61,83;1540;1440;17,29;26,93;29,72;36,1;396,05;450,77
494593;758;98,06;136,64;1230;42,84;1380;1260;14,87;18,99;21,94;22,47;163,96;191,92
494593;758;98,06;136,64;1230;55,16;1380;1260;16,26;23;24,84;26,99;245,54;282,13
494593;758;98,06;136,64;1230;61,83;1380;1260;16,75;25,17;27,3;28,72;288,88;328,79
494593;759;100,49;256,42;1231;26,68;1420;1420;11,9;15,63;17,82;16,18;95,33;116,24
494593;759;100,49;256,42;1231;44,05;1420;1420;14,6;18,38;19,92;24,7;176,37;206,45
494593;759;100,49;256,42;1231;56,37;1420;1400;16,27;22,27;24,47;30,56;274,29;315,17
494593;759;100,49;256,42;1231;63,04;1420;1400;17,03;24,63;28,88;33,72;345,66;393,41
494593;760;42;187,05;1232;45,96;1520;1580;15,18;19,28;22,78;29,7;221,56;259,33
494593;760;42;187,05;1232;58,28;1520;1560;16,17;24,24;25,96;33,38;321,78;369,73
494593;760;42;187,05;1232;64,95;1520;1560;16,55;27,1;29,12;35,06;380,69;433,28
494593;761;118,98;142,57;1233;28,58;1620;1500;12,49;16,53;17,76;18,72;114,32;139,4
494593;761;118,98;142,57;1233;45,96;1620;1500;14,78;20,29;22,22;26,49;204,35;239,19
494593;761;118,98;142,57;1233;58,28;1620;1500;15,87;23,39;26,1;30,87;289,99;333,2
494593;761;118,98;142,57;1233;64,95;1620;1500;16,3;25,09;28,6;32,7;334,8;381,05
494593;762;68,69;259,89;1234;29,7;1540;1600;11,75;15,49;17,36;18,04;105,92;129,15
494593;762;68,69;259,89;1234;47,08;1540;1560;14,2;18,92;21,7;25,93;193,37;226,34
494593;762;68,69;259,89;1234;59,4;1540;1520;15,47;22,6;25,72;29,92;276,5;317,7
494593;762;68,69;259,89;1234;66,06;1540;1520;15,88;24,15;27,68;31,67;316,08;359,74
494593;762;68,69;259,89;1235;29,7;1560;1540;12,02;16,3;17,86;18,04;110,04;134,18
494593;762;68,69;259,89;1235;47,08;1560;1540;14,54;19,9;22,32;26,81;207,08;242,39
494593;762;68,69;259,89;1235;59,4;1560;1540;15,63;23,63;26,98;31,31;302,15;347,18
494593;762;68,69;259,89;1235;66,06;1560;1540;16,05;25,12;29,12;33,16;346,28;394,11
494593;762;68,69;259,89;1236;47,08;1600;1660;14,87;22,18;24;30,2;255,03;298,52
494593;762;68,69;259,89;1236;59,4;1600;1660;15,94;25,42;27,3;35;354,7;407,55
494593;762;68,69;259,89;1236;66,06;1600;1660;16,35;26,57;29,58;37,12;400,21;455,5
494593;763;62,77;104,93;1237;30,06;1400;1440;13,19;18,45;20,26;20,38;141,75;172,84
494593;763;62,77;104,93;1237;47,44;1400;1440;15,11;20,94;23,64;27,11;222,12;259,98
494593;763;62,77;104,93;1237;59,76;1400;1440;15,89;22,91;25,74;30,22;284,31;326,67
494593;763;62,77;104,93;1237;66,43;1400;1440;16,34;25,78;29,04;32,08;341,73;388,94
494593;764;43,92;281,73;1238;23,88;1340;1260;10,45;12,91;13,76;10,95;52,17;63,61
494593;764;43,92;281,73;1238;41,26;1340;1260;14,91;18,66;19,12;22,34;156,91;183,66
494593;764;43,92;281,73;1238;53,58;1340;1260;16,48;22,48;24,2;27,51;244,64;281,09
494593;764;43,92;281,73;1238;60,25;1340;1260;17,25;24,59;27,22;30,24;297,55;338,66
494593;765;51,97;147,53;1239;23,59;1660;1680;8,73;11,15;12,16;10,15;41,66;50,79
494593;765;51,97;147,53;1239;40,97;1660;1680;11,82;17,06;18,46;18,56;118,62;138,85
494593;765;51,97;147,53;1239;53,29;1660;1680;13,22;20,48;21,62;23,27;186,22;213,97
494593;765;51,97;147,53;1239;59,95;1660;1680;13,83;23,19;24,22;25,48;231,39;263,36
494593;766;156,87;142,95;1240;36,5;1600;1440;13,16;17,31;17,5;20,21;133,36;156,1
494593;766;156,87;142,95;1240;48,82;1620;1460;14,88;19,61;21,94;26,47;208,3;239,34
494593;766;156,87;142,95;1240;55,49;1620;1460;15,66;22,56;25,26;29,39;268,06;305,08
494593;767;94,16;259,94;1241;19,35;1620;1600;7,57;10,11;11,18;7,39;27,89;34,01
494593;767;94,16;259,94;1241;36,73;1620;1600;11,55;16,19;16,06;17,3;107,39;125,7
494593;767;94,16;259,94;1241;49,05;1620;1600;13,14;19,19;20,74;22,48;171,49;197,04
494593;767;94,16;259,94;1241;55,72;1620;1580;14,12;21,63;23,96;25,62;223,17;254
494593;768;72,5;252,17;1242;19,45;1700;1640;8,84;12,9;13,88;10,23;48,94;59,68
494593;768;72,5;252,17;1242;36,83;1700;1640;12,6;17,28;18,3;21,05;138,72;162,37
494593;768;72,5;252,17;1242;49,15;1700;1640;13,66;20,54;22,96;25,08;207,13;238
494593;768;72,5;252,17;1242;55,81;1700;1640;14,25;22,96;26,36;27,51;257,1;292,61
