"parcela";"estrato";"talhao";"area";"distkm";"id";"ncovas";"nfustes";"dapmed";"htmed";"hd";"ab";"vtsc";"vtcc";"sitio";"licl4";"lscl4";"lscl3";"lscl2";"lscl1";"cls";"mudou";"nmudou";"ncls";"s";"max_id";"vtcc2";"vtcc3";"vtcc4";"vtcc5";"vtcc6";"vtcc7";"vtcc8";"vtcc9";"vtcc10";"ima2";"ima3";"ima4";"ima5";"ima6";"ima7";"ima8";"ima9";"ima10";"ica3";"ica4";"ica5";"ica6";"ica7";"ica8";"ica9";"ica10"
1559;494631;995;69,6;117,55;59,95;1655,717154;1614,324225;16,01906346;24,06998812;27,11236839;32,18300217;305,9144406;351,4984035;29,6632703;19,15705512;22,05489489;25,05849939;28,16175759;31,359393;2;0;0;2;29,13;59,95;104,376135561732;208,858515868639;295,445700812644;363,791851337416;417,929629374433;461,465263399799;497,068114581029;497,068114581029;551,573701783989;52,1880677808662;69,6195052895462;73,861425203161;72,7583702674832;69,6549382290721;65,9236090571141;62,1335143226286;55,2297905090032;55,1573701783989;104,482380306906;86,5871849440055;68,3461505247716;54,1377780370167;43,5356340253662;35,6028511812301;0;54,5055872029606
1560;494631;995;69,6;117,55;59,95;1738,503011;1717,806547;15,31538367;25,53943709;27,67117293;30,47554386;298,9707768;343,5199164;30,10989001;19,15705512;22,05489489;25,05849939;28,16175759;31,359393;2;0;0;2;29,13;59,95;89,2854923527953;188,208244506925;273,254622186266;341,762840608951;396,731231098706;441,32830501132;478,036245129657;478,036245129657;534,612967035788;44,6427461763977;62,7360815023084;68,3136555465664;68,3525681217902;66,1218718497843;63,0469007159028;59,7545306412071;53,1151383477396;53,4612967035788;98,9227521541299;85,0463776793405;68,5082184226853;54,9683904897545;44,5970739126143;36,7079401183366;0;56,5767219061319
1561;494631;996;135,05;291,16;60,25;1614,324225;1531,538367;17,42642304;26,52251915;29,28549715;36,40508091;378,5900754;435,0086374;31,33951821;19,2605747;22,14945868;25,14061902;28,22804893;31,40656699;1;0;1;2;29,13;60,25;147,989742585663;263,596185833971;351,797602471661;418,316627482615;469,511926787748;509,872967459476;542,404776933221;542,404776933221;591,465791866597;73,9948712928313;87,8653952779902;87,9494006179152;83,663325496523;78,251987797958;72,8389953513537;67,8005971166526;60,2671974370246;59,1465791866597;115,606443248308;88,2014166376902;66,5190250109542;51,1952993051328;40,3610406717282;32,5318094737451;0;49,0610149333758
1562;494631;996;135,05;291,16;60,25;1572,931296;1572,931296;16,2570728;23,39735303;27,75395879;32,43135975;304,776135;350,1945262;30,12095329;19,2605747;22,14945868;25,14061902;28,22804893;31,40656699;2;0;0;2;29,13;60,25;106,10034050016;211,152339241979;297,875961244534;366,183855217932;420,21835327939;463,630537634596;499,108304957425;499,108304957425;553,384084227736;53,05017025008;70,3841130806596;74,4689903111336;73,2367710435863;70,0363922132316;66,2329339477994;62,3885381196781;55,4564783286028;55,3384084227736;105,051998741819;86,7236220025555;68,3078939733971;54,0344980614582;43,412184355206;35,4777673228292;0;54,2757792703109
1563;494631;997;110,53;236,25;67,18;1692,722432;1692,722432;14,394391;22,72471793;25,08411488;26,57426031;234,6668618;267,0775251;26,31492945;21,54128959;24,20743435;26,90806001;29,64046754;32,40237524;3;0;1;3;26,72;67,18;60,5911275463459;135,69233746066;203,061910751125;258,626102630887;303,879646924445;340,974979237869;371,739050624417;371,739050624417;419,527205179525;30,295563773173;45,2307791535534;50,7654776877812;51,7252205261773;50,6466078207408;48,7107113196955;46,4673813280521;41,3043389582685;41,9527205179525;75,1012099143142;67,3695732904649;55,5641918797617;45,253544293558;37,0953323134241;30,764071386548;0;47,7881545551078
1564;494631;997;110,53;236,25;67,18;1738,503011;1738,503011;14,88075792;24,58739973;25,80849113;28,66460322;267,1292663;304,0310623;26,98579461;21,54128959;24,20743435;26,90806001;29,64046754;32,40237524;3;0;1;3;26,72;67,18;77,2631609656805;159,562542842722;229,303237856526;285,034697508326;329,525801950359;365,496728276773;395,029059554791;395,029059554791;440,42586540835;38,6315804828403;53,1875142809074;57,3258094641315;57,0069395016652;54,9209669917265;52,2138183252533;49,3786324443489;43,8921177283101;44,042586540835;82,2993818770418;69,7406950138036;55,7314596518003;44,491104442033;35,9709263264137;29,5323312780181;0;45,3968058535589
1565;494631;998;45,11;235,85;65,05;1738,503011;1738,503011;15,91558114;25,35316891;28,10579868;33,50757589;331,3814401;377,1620193;29,5153115;20,86314014;23,60042592;26,39055827;29,22969367;32,1145641;2;0;0;2;29,13;65,05;107,303400719247;212,745493507771;299,559992499296;367,839087042953;421,800657802888;465,12651024093;500,517162143668;500,517162143668;554,633383126042;53,6517003596233;70,9151645025905;74,889998124824;73,5678174085907;70,3001096338147;66,4466443201329;62,5646452679584;55,6130180159631;55,4633383126042;105,442092788525;86,8144989915246;68,2790945436574;53,961570759935;43,325852438042;35,3906519027371;0;54,1162209823744
1566;494631;998;45,11;235,85;65,05;1676,413618;1697,110082;15,3567766;25,34282068;28,64390676;30,65146381;306,4835934;348,8285596;29,98755462;20,86314014;23,60042592;26,39055827;29,22969367;32,1145641;2;0;0;2;29,13;65,05;81,3479973153405;176,881585489212;260,825771588518;329,269290487241;384,60805819097;429,743386233104;467,038108115108;467,038108115108;524,750283541432;40,6739986576702;58,9605284964039;65,2064428971296;65,8538580974483;64,1013430318283;61,3919123190149;58,3797635143885;51,8931231239009;52,4750283541432;95,5335881738713;83,9441860993066;68,4435188987231;55,3387677037284;45,1353280421346;37,2947218820033;0;57,7121754263244
1567;494631;999;47,94;163,7;64,78;1490,145438;1469,448974;13,48374657;20,51019624;21,87616289;19,84790938;154,3956246;175,7233312;24,008122;20,77571701;23,52188032;26,32336719;29,17619437;32,07697245;4;0;2;4;24,31;64,78;31,0927013290863;80,8905308992965;130,471994409361;173,8157274281;210,444178520089;241,244158734368;267,267852497399;267,267852497399;308,483975213655;15,5463506645432;26,9635102997655;32,6179986023402;34,7631454856201;35,0740297533481;34,4634512477669;33,4084815621749;29,6964280552666;30,8483975213655;49,7978295702102;49,5814635100643;43,3437330187394;36,6284510919885;30,7999802142794;26,0236937630312;0;41,2161227162559
1568;494631;999;47,94;163,7;64,78;1593,62776;1531,538367;15,43956246;25,24968659;26,90540375;27,3400295;264,2731542;300,7920656;28,51362031;20,77571701;23,52188032;26,32336719;29,17619437;32,07697245;2;0;1;2;29,13;64,78;57,4343796577251;140,248858477885;219,160879865072;286,471390090299;342,473313398173;389,05980446324;428,113167501802;428,113167501802;489,460552086063;28,7171898288625;46,7496194926282;54,790219966268;57,2942780180597;57,0788855663621;55,5799720661772;53,5141459377252;47,5681297224224;48,9460552086063;82,8144788201596;78,9120213871872;67,3105102252268;56,0019233078742;46,5864910650673;39,0533630385614;0;61,3473845842618
