estrato;talhao;area;distkm;parcela;id;ncovas;nfustes;dapmed;htmed;hd;ab;vtsc;vtcc;sitio;licl4;lscl4;lscl3;lscl2;lscl1;cls;mudou;nmudou;ncls;s
573116;176;53,38;170,2;290;49,21;1488,1;1438,49;15,43;22,77;24,85;27,36;236,27;276,55;29,58903415;14,54201245;17,34132809;20,35876136;23,59062182;27,03357582;1;0;1;1;29,87
573116;148;129,81;72,96;252;49,51;1720;1680;12,14;19,68;20,92;19,68;145,16;169,9;26,83261777;14,65266116;17,44812403;20,45726996;23,67620745;27,10142572;2;0;1;3;25,37
573116;148;129,81;72,96;253;49,51;1580;1560;13,78;22,18;23,18;23,72;199,03;232,97;28,41240807;14,65266116;17,44812403;20,45726996;23,67620745;27,10142572;2;0;0;2;27,62
573116;148;129,81;72,96;254;49,51;1480;1480;14,96;23,44;24,82;26,83;238,48;279,14;29,51645701;14,65266116;17,44812403;20,45726996;23,67620745;27,10142572;1;0;0;1;29,87
573116;171;112,89;119,57;283;49,57;1649,62;1649,62;12,7;20,01;26,08;23,47;225,71;256,59;30,33340118;14,67475863;17,46943369;20,47691054;23,69325914;27,11493479;1;0;1;1;29,87
573116;171;112,89;119,57;284;49,57;1646,09;1700,96;14,46;23,51;25,76;29,19;287,08;326,07;30,1249367;14,67475863;17,46943369;20,47691054;23,69325914;27,11493479;1;0;1;1;29,87
573116;180;67,88;288,94;296;49,61;1486,69;1585,81;12,45;19,49;20,5;19,66;155,41;181,25;26,50723645;14,68948426;17,48363094;20,48999295;23,70461485;27,12392961;2;0;0;2;27,62
573116;180;67,88;288,94;297;49,61;1625,18;1598,09;13,99;21,92;23,72;25,04;221,95;255,53;28,76043294;14,68948426;17,48363094;20,48999295;23,70461485;27,12392961;1;0;0;1;29,87
573116;180;67,88;288,94;298;49,61;1578,03;1683,24;12,68;20,31;22,74;21,75;181,18;209,98;28,08979892;14,68948426;17,48363094;20,48999295;23,70461485;27,12392961;2;0;0;2;27,62
573116;167;71,88;348,13;277;49,67;1378,55;1355,57;16,35;21,6;24,45;30,05;256,86;300,7;29,24115623;14,71156366;17,50491302;20,5095996;23,7216303;27,137405;1;0;0;1;29,87
573116;167;71,88;348,13;278;49,67;1543,41;1517,68;14,48;20,61;23,2;26,14;211,24;247,26;28,3941651;14,71156366;17,50491302;20,5095996;23,7216303;27,137405;2;0;1;2;27,62
573116;181;28,83;282,75;299;49,84;1522,07;1522,07;14,41;22,93;23,15;25,01;213,57;249,99;28,32576835;14,77406276;17,56512232;20,56504136;23,76972293;27,17547592;2;0;1;2;27,62
573116;181;28,83;282,75;300;49,84;1525,2;1525,2;14,36;22,61;23,48;24,97;211,07;247,06;28,55227976;14,77406276;17,56512232;20,56504136;23,76972293;27,17547592;2;0;1;1;29,87
573116;137;126,72;131,54;236;50;1640;1620;13,62;21,52;23,6;24;194,77;227,98;28,60313295;14,83280499;17,62166828;20,61707287;23,81482791;27,21116021;2;0;1;2;27,62
573116;137;126,72;131,54;237;50;1680;1680;13,58;21,3;23,76;25,13;205,67;240,73;28,71257185;14,83280499;17,62166828;20,61707287;23,81482791;27,21116021;2;0;1;2;27,62
573116;154;145,43;150,93;261;50;1720;1780;13,35;21,28;23,16;26,12;214,39;250,94;28,30050045;14,83280499;17,62166828;20,61707287;23,81482791;27,21116021;2;0;1;2;27,62
573116;154;145,43;150,93;262;50;1720;1700;13,63;20,48;22,56;25,43;198,34;232,16;27,8837603;14,83280499;17,62166828;20,61707287;23,81482791;27,21116021;2;0;1;2;27,62
573116;155;183,11;301,58;263;50;1680;1640;11,99;19,75;22,56;19,16;145,58;170,4;27,8837603;14,83280499;17,62166828;20,61707287;23,81482791;27,21116021;2;0;1;2;27,62
573116;144;73,09;226,64;247;50,03;1540;1500;14,58;23,38;25,62;26,47;241,51;282,69;29,95709346;14,84381042;17,6322575;20,62681271;23,82326801;27,21783519;1;0;1;1;29,87
573116;143;112,47;128,15;245;50,13;1540;1560;14,09;21,71;24,72;25,77;219,84;257,32;29,33926952;14,88047519;17,6675249;20,65924223;23,85136276;27,2400491;1;0;1;1;29,87
573116;143;112,47;128,15;246;50,13;1680;1700;13,63;20,85;23,46;26,3;215,75;252,54;28,48147533;14,88047519;17,6675249;20,65924223;23,85136276;27,2400491;2;0;1;2;27,62
573116;191;45,86;214,19;318;50,2;1613,62;1657,82;11,33;18,27;21,26;17,18;121,3;141,98;26,91842203;14,90612216;17,69218459;20,68190939;23,87099352;27,25556594;2;0;1;2;27,62
