estrato;talhao;area;distkm;parcela;id;ncovas;nfustes;dapmed;htmed;hd;ab;vtsc;vtcc;sitio;licl4;lscl4;lscl3;lscl2;lscl1;cls;mudou;nmudou;ncls;s
494631;1084;45,56;67,73;1712;60,22;1636,986853;1555,142685;13,73210414;21,95894875;22,97307551;21,92790405;195,1366148;221,9074915;26,20441573;19,25024024;22,140023;25,13242874;28,22144004;31,40186579;3;0;1;3;26,715
494631;1084;45,56;67,73;1713;60,22;1478,596811;1503,2463;13,32852309;21,34840305;22,09347577;19,78581998;170,1663305;193,5119423;25,46043739;19,25024024;22,140023;25,13242874;28,22144004;31,40186579;4;0;1;4;24,305
494631;996;135,05;291,16;1561;60,25;1614,324225;1531,538367;17,42642304;26,52251915;29,28549715;36,40508091;378,5900754;435,0086374;31,33951821;19,2605747;22,14945868;25,14061902;28,22804893;31,40656699;1;0;1;2;29,125
494631;996;135,05;291,16;1562;60,25;1572,931296;1572,931296;16,2570728;23,39735303;27,75395879;32,43135975;304,776135;350,1945262;30,12095329;19,2605747;22,14945868;25,14061902;28,22804893;31,40656699;2;0;0;2;29,125
494631;1012;77,96;127,13;1588;60,28;1765,160057;1824,000106;14,09429227;23,66640706;25,33247245;27,26759187;261,0341575;295,8352624;28,15095847;19,27090526;22,15888977;25,14880449;28,23465333;31,4112646;2;0;0;2;29,125
494631;1078;45,01;202,23;1704;60,45;1659,83575;1576,842928;15,89488467;22,12452046;27,96092343;30,88947315;295,0694932;328,5356762;30,25056204;19,32937153;22,21224575;25,19509802;28,27199366;31,43781675;2;0;2;2;29,125
494631;1088;115,29;127,8;1719;60,68;1761,34156;1761,34156;13,8459347;21,76233234;25,16690073;26,32590274;229,8756303;264,1282789;27,92497725;19,40827342;22,28419848;25,25748534;28,3222847;31,47355798;3;0;1;3;26,715
494631;1089;127,52;136,75;1720;60,71;1646,972897;1624,092956;14,03220288;23,3249154;25,16690073;23,97685403;213,8979598;245,7808632;27,91821338;19,41854803;22,29356373;25,26560208;28,32882512;31,47820449;3;0;1;2;29,125
494631;1089;127,52;136,75;1721;60,71;1635,020689;1614,324225;14,7151862;24,04929166;25,84988406;26,32590274;242,8419653;279,0297333;28,48251245;19,41854803;22,29356373;25,26560208;28,32882512;31,47820449;2;0;0;2;29,125
494631;1092;81,24;209,95;1727;60,71;1510,841903;1490,145438;15,62583064;23,92511287;26,32590274;28,30241509;264,2835024;303,658526;28,87358385;19,41854803;22,29356373;25,26560208;28,32882512;31,47820449;2;0;0;2;29,125
494631;1093;165,84;126,43;1728;60,84;1572,931296;1572,931296;15,48095539;25,83953583;28,47833504;29,24410422;294,6659122;338,5734614;30,59771922;19,46302609;22,33409346;25,30071943;28,35711564;31,49829847;1;0;1;2;29,125
494631;1094;136,89;136,5;1729;60,87;1697,110082;1676,413618;14,46682863;24,09068458;27,29863657;26,94679667;255,6323803;293,724223;29,63644007;19,4732798;22,34343424;25,3088107;28,3636324;31,50292613;2;0;0;2;29,125
494631;1077;29,96;333,19;1703;61,01;1785,101101;1725,598766;14,00115818;24,00789873;24,70123028;25,33247245;234,7806924;270,7304511;27,46135086;19,52107862;22,38696394;25,34650701;28,3939855;31,5244753;3;0;1;3;26,715
494631;1063;182,01;285,3;1681;61,1;1578,312377;1578,312377;15,78105412;26,6984391;27,96092343;29,21305953;304,5277775;340,4775362;30,13251425;19,55176127;22,41489463;25,37068563;28,41344746;31,53828793;2;0;1;2;29,125
494631;1059;102,08;225,1;1674;61,14;1739,486093;1855,458732;14,22881929;23,53188004;27,52629768;28,99574665;291,6131837;321,2298243;29,77059952;19,56538666;22,42729503;25,38141796;28,4220845;31,54441676;2;0;0;2;29,125
